,id,title,twitter_location,twitter_text,twitter_time,twitter_user
0,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",World,"Smoking In Cars With Children Is Illegal Starting  January 30, 2018 https://t.co/0GMGFKYUkG",2018-02-03 19:13:08,BestAmazingTwts
1,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Ohio,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/InClWrusQB",2018-02-04 14:23:14,Ohjobfairs
2,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Louisiana, USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/1Tcb1OZE3e",2018-02-05 23:52:22,JECcupcake
3,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/sGZ3Gvfeim",2018-02-06 01:19:39,garmentsgrace
4,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Baton Rouge, LA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/S5pmf9FhZs",2018-02-06 01:28:08,ElijahFreeman2
5,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/JzzbQxZ0IF",2018-02-06 01:38:27,jkupdegraff426
6,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Ohio,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/DfuWzH3F0I via @LoveThisPic_com",2018-02-06 02:52:22,elovebug7
7,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Charlottesville, VA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/psE0Qr8GoX via @LoveThisPic_com",2018-02-06 05:13:49,crazy4dmb
8,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/nzgZaiBv5v",2018-02-06 11:34:02,KekChrysalis
9,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Houston,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/S5MzXh3TGq",2018-02-06 12:45:22,Pinkychelle
10,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Wellston Missouri,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/H7Moc422Qr",2018-02-06 12:50:09,heavysilk
11,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",KINZERS PA,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Id7YT6xToi",2018-02-06 14:28:04,dymples100
